Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Payment Mode,Month,Year,Day,Profit Margin
ORD100028,2023-11-30,2023-12-03,CUST0279,Meera Mehta,Consumer,Guwahati,Assam,East,Furniture,Table,Study Table,8168.97,10,0.2,163.38,Cash,November,2023,Thursday,2.0000073448672233
ORD100029,2024-05-28,2024-05-30,CUST0273,Vivaan Kumar,Home Office,Ahmedabad,Gujarat,West,Furniture,Chair,Office Chair,138.93,10,0.05,13.2,Credit Card,May,2024,Tuesday,9.501187648456055
ORD100030,2023-05-25,2023-05-29,CUST0317,Neha Kumar,Consumer,Lucknow,Uttar Pradesh,North,Office Supplies,Pen,Gel Pen Box,8843.96,2,0.0,1061.28,Credit Card,May,2023,Thursday,12.0000542743296
ORD100031,2023-07-15,2023-07-18,CUST0022,Neha Kumar,Corporate,Chennai,Tamil Nadu,South,Technology,Laptop,Business Laptop,3323.58,8,0.2,66.47,Net Banking,July,2023,Saturday,1.999951859139843
ORD100032,2024-06-08,2024-06-10,CUST0355,Arjun Verma,Home Office,Chennai,Tamil Nadu,South,Furniture,Bookcase,Wooden Bookcase,7022.26,4,0.1,491.56,Net Banking,June,2024,Saturday,7.000025632773495
ORD100033,2023-07-27,2023-07-31,CUST0071,Meera Shah,Corporate,Hyderabad,Telangana,South,Furniture,Chair,Office Chair,4340.55,4,0.05,412.35,Debit Card,July,2023,Thursday,9.4999481632512
ORD100034,2023-05-06,2023-05-08,CUST0482,Sneha Mehta,Corporate,Pune,Maharashtra,West,Furniture,Chair,Office Chair,4042.74,2,0.15,181.92,Credit Card,May,2023,Saturday,4.499918372193116
ORD100035,2024-11-14,2024-11-16,CUST0083,Meera Kumar,Corporate,Lucknow,Uttar Pradesh,North,Furniture,Chair,Office Chair,3253.4,6,0.3,-97.6,Debit Card,November,2024,Thursday,-2.99993852584988
ORD100036,2023-01-20,2023-01-23,CUST0284,Karan Verma,Home Office,Ahmedabad,Gujarat,West,Furniture,Table,Study Table,6276.88,9,0.2,125.54,UPI,January,2023,Friday,2.0000382355565187
ORD100037,2023-04-26,2023-04-28,CUST0498,Neha Shah,Corporate,Jaipur,Rajasthan,North,Technology,Phone,Smartphone,7582.19,5,0.15,341.2,Debit Card,April,2023,Wednesday,4.500019123762396
ORD100038,2024-02-20,2024-02-22,CUST0275,Nisha Joshi,Consumer,Jaipur,Rajasthan,North,Technology,Phone,Smartphone,8963.32,7,0.1,627.43,UPI,February,2024,Tuesday,6.9999732242071016
ORD100039,2024-10-11,2024-10-12,CUST0411,Arjun Shah,Home Office,Delhi,Delhi,North,Technology,Accessories,Wireless Mouse,4592.36,2,0.1,321.47,Net Banking,October,2024,Friday,7.0001045214225375
ORD100040,2024-03-03,2024-03-06,CUST0319,Vivaan Patel,Home Office,Guwahati,Assam,East,Technology,Laptop,Business Laptop,2692.76,3,0.05,255.81,Credit Card,March,2024,Sunday,9.499918299439978
ORD100041,2023-11-16,2023-11-22,CUST0157,Kabir Singh,Corporate,Chennai,Tamil Nadu,South,Office Supplies,Binder,Ring Binder,3535.31,5,0.0,424.24,Debit Card,November,2023,Thursday,12.000079200975303
ORD100042,2023-02-07,2023-02-08,CUST0010,Kabir Kumar,Corporate,Delhi,Delhi,North,Furniture,Chair,Office Chair,6599.44,7,0.2,131.99,Cash,February,2023,Tuesday,2.000018183361013
ORD100043,2024-06-02,2024-06-05,CUST0353,Kabir Gupta,Corporate,Delhi,Delhi,North,Office Supplies,Binder,Ring Binder,9895.44,7,0.0,1187.45,Credit Card,June,2024,Sunday,11.999971704138472
ORD100044,2023-01-15,2023-01-16,CUST0321,Arjun Desai,Consumer,Ahmedabad,Gujarat,West,Technology,Accessories,Keyboard,6738.38,9,0.1,471.69,Net Banking,January,2023,Sunday,7.00005045723156
ORD100045,2023-09-06,2023-09-12,CUST0151,Diya Verma,Consumer,Pune,Maharashtra,West,Furniture,Table,Study Table,2706.11,1,0.1,189.43,Net Banking,September,2023,Wednesday,7.000084992849515
ORD100046,2023-11-28,2023-11-30,CUST0018,Priya Gupta,Corporate,Pune,Maharashtra,West,Technology,Accessories,Wireless Mouse,930.52,7,0.1,65.14,Net Banking,November,2023,Tuesday,7.000386880453941
ORD100047,2024-11-02,2024-11-04,CUST0128,Aarav Shah,Corporate,Mumbai,Maharashtra,West,Technology,Accessories,Keyboard,512.5,10,0.0,61.5,Debit Card,November,2024,Saturday,12.0
ORD100048,2023-11-08,2023-11-14,CUST0120,Rohan Nair,Home Office,Pune,Maharashtra,West,Office Supplies,Pen,Gel Pen Box,7234.7,6,0.15,325.56,Credit Card,November,2023,Wednesday,4.499979266590183
ORD100049,2023-10-18,2023-10-24,CUST0317,Vivaan Patel,Home Office,Chennai,Tamil Nadu,South,Office Supplies,Pen,Gel Pen Box,1479.15,9,0.2,29.58,Net Banking,October,2023,Wednesday,1.9997971808133046
ORD100050,2024-08-05,2024-08-06,CUST0424,Ishita Shah,Consumer,Ahmedabad,Gujarat,West,Technology,Accessories,Wireless Mouse,3828.52,2,0.15,172.28,Net Banking,August,2024,Monday,4.499911192836919
ORD100051,2023-02-21,2023-02-27,CUST0010,Ishita Verma,Corporate,Ahmedabad,Gujarat,West,Furniture,Chair,Office Chair,8988.79,9,0.0,1078.65,Net Banking,February,2023,Tuesday,11.999946600154193
ORD100052,2023-03-09,2023-03-15,CUST0378,Nisha Singh,Consumer,Jaipur,Rajasthan,North,Technology,Phone,Smartphone,7424.3,4,0.15,334.09,Cash,March,2023,Thursday,4.499952857508452
ORD100053,2024-01-27,2024-01-28,CUST0246,Priya Patel,Home Office,Bhubaneswar,Odisha,East,Office Supplies,Binder,Ring Binder,6037.08,2,0.1,422.6,Debit Card,January,2024,Saturday,7.000072882916908
ORD100054,2024-10-29,2024-11-04,CUST0355,Priya Nair,Home Office,Pune,Maharashtra,West,Technology,Accessories,Keyboard,4909.4,1,0.3,-147.28,UPI,October,2024,Tuesday,-2.9999592618242557
ORD100055,2024-12-09,2024-12-11,CUST0346,Nisha Singh,Home Office,Chennai,Tamil Nadu,South,Furniture,Table,Study Table,4716.76,8,0.0,566.01,Net Banking,December,2024,Monday,11.999974558807317
ORD100056,2023-07-24,2023-07-27,CUST0044,Nisha Patel,Corporate,Hyderabad,Telangana,South,Technology,Accessories,Keyboard,3929.8,5,0.05,373.33,UPI,July,2023,Monday,9.499974553412386
ORD100057,2024-08-18,2024-08-19,CUST0073,Arjun Joshi,Consumer,Kolkata,West Bengal,East,Office Supplies,Storage,Plastic Storage Box,7063.04,2,0.05,670.99,Cash,August,2024,Sunday,9.500016989851396
ORD100058,2024-05-12,2024-05-16,CUST0013,Anaya Patel,Corporate,Bhubaneswar,Odisha,East,Furniture,Table,Study Table,7299.11,5,0.15,328.46,Debit Card,May,2024,Sunday,4.5000006850150225
ORD100059,2024-01-21,2024-01-24,CUST0062,Rahul Patel,Corporate,Lucknow,Uttar Pradesh,North,Furniture,Chair,Office Chair,7158.93,4,0.3,-214.77,Debit Card,January,2024,Sunday,-3.0000293339926496
ORD100060,2023-09-17,2023-09-20,CUST0034,Yash Desai,Home Office,Mumbai,Maharashtra,West,Furniture,Table,Study Table,8557.13,5,0.1,599.0,UPI,September,2023,Sunday,7.000010517545019
ORD100061,2023-02-22,2023-02-28,CUST0147,Vivaan Gupta,Corporate,Bengaluru,Karnataka,South,Office Supplies,Storage,Plastic Storage Box,7754.52,4,0.15,348.95,UPI,February,2023,Wednesday,4.499956154604024
ORD100062,2024-10-08,2024-10-12,CUST0468,Kabir Shah,Consumer,Guwahati,Assam,East,Furniture,Table,Study Table,7551.41,10,0.3,-226.54,Debit Card,October,2024,Tuesday,-2.999969542112003
ORD100063,2024-05-12,2024-05-13,CUST0467,Vivaan Mehta,Corporate,Bengaluru,Karnataka,South,Furniture,Table,Study Table,2631.85,5,0.3,-78.96,Debit Card,May,2024,Sunday,-3.000170982388814
ORD100064,2024-02-20,2024-02-26,CUST0123,Priya Verma,Home Office,Bhubaneswar,Odisha,East,Furniture,Chair,Office Chair,6467.73,3,0.0,776.13,Credit Card,February,2024,Tuesday,12.000037107300399
ORD100065,2024-05-27,2024-05-31,CUST0282,Ishita Verma,Corporate,Hyderabad,Telangana,South,Furniture,Chair,Office Chair,2004.83,9,0.0,240.58,Credit Card,May,2024,Monday,12.000019951816364
ORD100066,2023-12-17,2023-12-22,CUST0047,Rahul Gupta,Corporate,Jaipur,Rajasthan,North,Office Supplies,Binder,Ring Binder,7521.61,1,0.15,338.47,Cash,December,2023,Sunday,4.499967427186467
ORD100067,2024-02-28,2024-03-05,CUST0269,Kabir Desai,Corporate,Lucknow,Uttar Pradesh,North,Technology,Accessories,Keyboard,5785.38,5,0.1,404.98,Credit Card,February,2024,Wednesday,7.000058768827631
ORD100068,2024-12-04,2024-12-09,CUST0271,Kabir Shah,Corporate,Delhi,Delhi,North,Furniture,Table,Study Table,4375.18,8,0.1,306.26,UPI,December,2024,Wednesday,6.9999405738735305
ORD100069,2023-05-11,2023-05-12,CUST0218,Nisha Nair,Corporate,Ahmedabad,Gujarat,West,Technology,Accessories,Keyboard,8569.08,9,0.15,385.61,Credit Card,May,2023,Thursday,4.500016337809893
ORD100070,2023-04-22,2023-04-24,CUST0080,Vivaan Kumar,Home Office,Mumbai,Maharashtra,West,Office Supplies,Pen,Gel Pen Box,5559.86,2,0.0,667.18,UPI,April,2023,Saturday,11.999942444593929
ORD100071,2023-05-09,2023-05-11,CUST0292,Diya Singh,Consumer,Bhubaneswar,Odisha,East,Furniture,Bookcase,Wooden Bookcase,7015.96,7,0.0,841.92,UPI,May,2023,Tuesday,12.000068415441364
ORD100072,2023-03-14,2023-03-17,CUST0269,Kabir Desai,Corporate,Delhi,Delhi,North,Office Supplies,Paper,A4 Paper Pack,5421.02,1,0.15,243.95,Debit Card,March,2023,Tuesday,4.500075631523218
ORD100073,2023-11-20,2023-11-26,CUST0430,Ishita Verma,Home Office,Delhi,Delhi,North,Office Supplies,Binder,Ring Binder,9610.08,1,0.3,-288.3,Debit Card,November,2023,Monday,-2.9999750262224665
ORD100074,2023-02-26,2023-02-27,CUST0100,Nisha Desai,Consumer,Jaipur,Rajasthan,North,Technology,Accessories,Keyboard,2345.18,6,0.0,281.42,Debit Card,February,2023,Sunday,11.999931774959705
ORD100075,2024-03-06,2024-03-09,CUST0350,Yash Gupta,Consumer,Jaipur,Rajasthan,North,Office Supplies,Paper,A4 Paper Pack,5007.39,4,0.05,475.7,Debit Card,March,2024,Wednesday,9.499959060508568
ORD100076,2023-07-18,2023-07-20,CUST0239,Ishita Singh,Corporate,Mumbai,Maharashtra,West,Office Supplies,Pen,Gel Pen Box,1954.4,10,0.05,185.67,Cash,July,2023,Tuesday,9.500102333196889
ORD100077,2024-03-03,2024-03-09,CUST0029,Vivaan Desai,Consumer,Delhi,Delhi,North,Technology,Phone,Smartphone,613.22,7,0.0,73.59,Credit Card,March,2024,Sunday,12.000587065001142
ORD100078,2024-02-07,2024-02-11,CUST0460,Rahul Shah,Consumer,Pune,Maharashtra,West,Furniture,Chair,Office Chair,6559.44,3,0.2,131.19,Cash,February,2024,Wednesday,2.0000182942446307
ORD100079,2023-02-02,2023-02-05,CUST0341,Yash Joshi,Corporate,Hyderabad,Telangana,South,Technology,Laptop,Business Laptop,874.6,1,0.0,104.95,Debit Card,February,2023,Thursday,11.999771324033844
ORD100080,2024-03-06,2024-03-07,CUST0288,Kabir Desai,Corporate,Jaipur,Rajasthan,North,Furniture,Chair,Office Chair,7082.04,1,0.05,672.79,Debit Card,March,2024,Wednesday,9.499946343144066
ORD100081,2024-07-08,2024-07-12,CUST0099,Rahul Joshi,Home Office,Hyderabad,Telangana,South,Technology,Accessories,Keyboard,8137.06,4,0.15,366.17,UPI,July,2024,Monday,4.500028265737257
ORD100082,2024-01-20,2024-01-21,CUST0238,Rohan Patel,Corporate,Delhi,Delhi,North,Office Supplies,Paper,A4 Paper Pack,3456.79,10,0.1,241.98,Debit Card,January,2024,Saturday,7.00013596429057
ORD100083,2024-09-23,2024-09-24,CUST0135,Rahul Singh,Corporate,Ahmedabad,Gujarat,West,Office Supplies,Paper,A4 Paper Pack,8277.58,1,0.0,993.31,Cash,September,2024,Monday,12.000004832330221
ORD100084,2024-04-21,2024-04-25,CUST0405,Arjun Desai,Corporate,Pune,Maharashtra,West,Furniture,Chair,Office Chair,8045.43,1,0.3,-241.36,Debit Card,April,2024,Sunday,-2.999963954692291
ORD100085,2024-12-09,2024-12-11,CUST0311,Ishita Joshi,Corporate,Hyderabad,Telangana,South,Furniture,Bookcase,Wooden Bookcase,5167.66,2,0.15,232.54,Credit Card,December,2024,Monday,4.499909049743985
ORD100086,2023-09-11,2023-09-15,CUST0034,Diya Verma,Home Office,Chennai,Tamil Nadu,South,Furniture,Chair,Office Chair,8846.4,7,0.0,1061.57,Debit Card,September,2023,Monday,12.000022608066557
ORD100087,2024-10-01,2024-10-02,CUST0107,Neha Desai,Corporate,Guwahati,Assam,East,Furniture,Chair,Office Chair,1416.02,4,0.15,63.72,Net Banking,October,2024,Tuesday,4.4999364415756835
ORD100088,2024-11-21,2024-11-23,CUST0383,Neha Singh,Corporate,Jaipur,Rajasthan,North,Office Supplies,Storage,Plastic Storage Box,2615.16,6,0.1,183.06,Credit Card,November,2024,Thursday,6.999954113706236
ORD100089,2024-03-25,2024-03-27,CUST0096,Ishita Gupta,Consumer,Jaipur,Rajasthan,North,Office Supplies,Binder,Ring Binder,741.56,6,0.1,51.91,Credit Card,March,2024,Monday,7.000107880683963
ORD100090,2024-06-03,2024-06-08,CUST0119,Neha Verma,Consumer,Mumbai,Maharashtra,West,Technology,Accessories,Keyboard,8421.51,4,0.1,589.51,UPI,June,2024,Monday,7.000051059726818
ORD100091,2023-10-28,2023-10-30,CUST0062,Diya Gupta,Home Office,Kolkata,West Bengal,East,Technology,Laptop,Business Laptop,5175.42,6,0.05,491.66,Cash,October,2023,Saturday,9.499905321693698
ORD100092,2024-09-09,2024-09-12,CUST0397,Aarav Shah,Home Office,Kolkata,West Bengal,East,Office Supplies,Storage,Plastic Storage Box,470.8,4,0.1,32.96,Credit Card,September,2024,Monday,7.000849617672047
ORD100093,2023-02-15,2023-02-17,CUST0131,Diya Nair,Home Office,Bhubaneswar,Odisha,East,Technology,Laptop,Business Laptop,4149.05,6,0.1,290.43,Credit Card,February,2023,Wednesday,6.999915643340042
ORD100094,2024-09-27,2024-09-30,CUST0040,Kabir Patel,Corporate,Chennai,Tamil Nadu,South,Furniture,Chair,Office Chair,1103.74,7,0.15,49.67,Net Banking,September,2024,Friday,4.500154021780492
ORD100095,2023-06-08,2023-06-14,CUST0274,Rohan Mehta,Corporate,Guwahati,Assam,East,Furniture,Table,Study Table,6711.33,5,0.15,302.01,UPI,June,2023,Thursday,4.50000223502644
ORD100096,2023-11-16,2023-11-22,CUST0291,Sneha Desai,Corporate,Ahmedabad,Gujarat,West,Furniture,Bookcase,Wooden Bookcase,3968.24,4,0.15,178.57,Credit Card,November,2023,Thursday,4.499979839929036
ORD100097,2023-01-07,2023-01-11,CUST0462,Anaya Desai,Consumer,Mumbai,Maharashtra,West,Furniture,Bookcase,Wooden Bookcase,4662.97,6,0.05,442.98,Credit Card,January,2023,Saturday,9.499953892047342
ORD100098,2023-01-16,2023-01-17,CUST0283,Vivaan Desai,Consumer,Kolkata,West Bengal,East,Office Supplies,Storage,Plastic Storage Box,1799.69,9,0.1,125.98,Debit Card,January,2023,Monday,7.0000944607126785
ORD100099,2023-06-15,2023-06-20,CUST0088,Rohan Shah,Corporate,Hyderabad,Telangana,South,Technology,Accessories,Wireless Mouse,8389.19,3,0.0,1006.7,Cash,June,2023,Thursday,11.999966623714565
ORD100100,2023-11-19,2023-11-20,CUST0312,Yash Shah,Home Office,Kolkata,West Bengal,East,Office Supplies,Binder,Ring Binder,6248.43,4,0.2,124.97,Credit Card,November,2023,Sunday,2.0000224056282936
ORD100101,2024-04-29,2024-05-01,CUST0290,Kabir Patel,Corporate,Chennai,Tamil Nadu,South,Technology,Accessories,Keyboard,1318.26,6,0.05,125.23,Credit Card,April,2024,Monday,9.499643469421814
ORD100102,2023-02-12,2023-02-17,CUST0432,Diya Joshi,Consumer,Bengaluru,Karnataka,South,Office Supplies,Pen,Gel Pen Box,8505.2,9,0.1,595.36,Cash,February,2023,Sunday,6.999952969947796
ORD100103,2023-11-12,2023-11-17,CUST0128,Meera Desai,Home Office,Lucknow,Uttar Pradesh,North,Furniture,Bookcase,Wooden Bookcase,1869.76,8,0.0,224.37,Net Banking,November,2023,Sunday,11.999935820640083
ORD100104,2024-05-16,2024-05-20,CUST0121,Karan Nair,Corporate,Pune,Maharashtra,West,Furniture,Table,Study Table,764.49,2,0.1,53.51,Cash,May,2024,Thursday,6.999437533519077
ORD100105,2024-01-10,2024-01-11,CUST0411,Karan Kumar,Home Office,Bhubaneswar,Odisha,East,Technology,Laptop,Business Laptop,914.19,3,0.3,-27.43,Debit Card,January,2024,Wednesday,-3.0004703617409945
ORD100106,2024-06-07,2024-06-08,CUST0028,Yash Mehta,Consumer,Mumbai,Maharashtra,West,Office Supplies,Paper,A4 Paper Pack,1403.01,4,0.15,63.14,Debit Card,June,2024,Friday,4.50032430274909
ORD100107,2023-06-19,2023-06-25,CUST0404,Ishita Shah,Corporate,Kolkata,West Bengal,East,Furniture,Chair,Office Chair,8975.72,6,0.1,628.3,Cash,June,2023,Monday,6.999995543532998
ORD100108,2023-05-28,2023-05-31,CUST0258,Nisha Gupta,Home Office,Jaipur,Rajasthan,North,Office Supplies,Binder,Ring Binder,3785.44,6,0.05,359.62,Credit Card,May,2023,Sunday,9.500084534426644
ORD100109,2024-02-18,2024-02-20,CUST0326,Arjun Joshi,Corporate,Pune,Maharashtra,West,Furniture,Chair,Office Chair,580.86,9,0.1,40.66,Cash,February,2024,Sunday,6.999965568295286
ORD100110,2024-07-22,2024-07-27,CUST0297,Neha Singh,Home Office,Bhubaneswar,Odisha,East,Furniture,Bookcase,Wooden Bookcase,2721.07,6,0.1,190.47,Net Banking,July,2024,Monday,6.999819923779984
ORD100111,2023-05-30,2023-06-02,CUST0170,Rohan Verma,Consumer,Pune,Maharashtra,West,Office Supplies,Paper,A4 Paper Pack,8216.26,5,0.1,575.14,Debit Card,May,2023,Tuesday,7.000021907777991
ORD100112,2024-10-16,2024-10-21,CUST0476,Rahul Patel,Home Office,Ahmedabad,Gujarat,West,Technology,Phone,Smartphone,6198.92,5,0.15,278.95,Cash,October,2024,Wednesday,4.499977415420751
ORD100113,2024-06-08,2024-06-11,CUST0459,Diya Mehta,Corporate,Delhi,Delhi,North,Office Supplies,Paper,A4 Paper Pack,638.49,1,0.2,12.77,Debit Card,June,2024,Saturday,2.000031323904838
ORD100114,2023-11-08,2023-11-09,CUST0268,Sneha Kumar,Consumer,Bengaluru,Karnataka,South,Office Supplies,Storage,Plastic Storage Box,1423.89,10,0.1,99.67,Net Banking,November,2023,Wednesday,6.99983847066838
ORD100115,2024-05-01,2024-05-03,CUST0069,Aarav Gupta,Home Office,Pune,Maharashtra,West,Furniture,Chair,Office Chair,6418.28,2,0.3,-192.55,Debit Card,May,2024,Wednesday,-3.0000249287971235
ORD100116,2024-02-16,2024-02-19,CUST0496,Aarav Patel,Home Office,Chennai,Tamil Nadu,South,Furniture,Bookcase,Wooden Bookcase,4493.17,10,0.2,89.86,Cash,February,2024,Friday,1.9999243295935831
ORD100117,2023-09-12,2023-09-14,CUST0463,Aarav Patel,Consumer,Chennai,Tamil Nadu,South,Technology,Accessories,Keyboard,2452.92,3,0.0,294.35,UPI,September,2023,Tuesday,11.999983692904785
ORD100118,2023-01-13,2023-01-18,CUST0283,Kabir Mehta,Corporate,Delhi,Delhi,North,Office Supplies,Pen,Gel Pen Box,1828.93,10,0.1,128.03,UPI,January,2023,Friday,7.000267916213305
ORD100119,2023-11-04,2023-11-10,CUST0025,Nisha Kumar,Consumer,Bengaluru,Karnataka,South,Furniture,Bookcase,Wooden Bookcase,896.74,8,0.3,-26.9,Cash,November,2023,Saturday,-2.999754666904565
ORD100120,2023-06-29,2023-07-01,CUST0054,Arjun Gupta,Home Office,Ahmedabad,Gujarat,West,Technology,Accessories,Wireless Mouse,7145.67,5,0.1,500.2,Net Banking,June,2023,Thursday,7.000043382915807
ORD100121,2024-11-26,2024-11-30,CUST0352,Arjun Singh,Home Office,Delhi,Delhi,North,Technology,Laptop,Business Laptop,2677.65,3,0.05,254.38,Credit Card,November,2024,Tuesday,9.500121375086362
ORD100122,2023-06-13,2023-06-19,CUST0469,Rahul Gupta,Corporate,Lucknow,Uttar Pradesh,North,Office Supplies,Binder,Ring Binder,9084.93,7,0.3,-272.55,Net Banking,June,2023,Tuesday,-3.000023115202869
ORD100123,2024-04-25,2024-04-29,CUST0430,Aarav Patel,Corporate,Guwahati,Assam,East,Technology,Accessories,Wireless Mouse,3976.47,4,0.2,79.53,UPI,April,2024,Thursday,2.0000150887596284
ORD100124,2024-08-01,2024-08-03,CUST0075,Diya Patel,Consumer,Mumbai,Maharashtra,West,Office Supplies,Binder,Ring Binder,9776.34,6,0.3,-293.29,UPI,August,2024,Thursday,-2.999997954244636
ORD100125,2023-02-01,2023-02-02,CUST0071,Diya Shah,Home Office,Ahmedabad,Gujarat,West,Technology,Accessories,Wireless Mouse,8193.86,4,0.2,163.88,UPI,February,2023,Wednesday,2.000034171928737
ORD100126,2024-12-29,2025-01-02,CUST0055,Ishita Gupta,Consumer,Mumbai,Maharashtra,West,Technology,Laptop,Business Laptop,8268.1,2,0.3,-248.04,Debit Card,December,2024,Sunday,-2.999963715968602
ORD100127,2024-05-03,2024-05-04,CUST0068,Neha Gupta,Corporate,Lucknow,Uttar Pradesh,North,Furniture,Table,Study Table,307.09,5,0.1,21.5,Debit Card,May,2024,Friday,7.001204858510535
